iteracija,u1,u2,vrijednost
35,386.12258572234776,351.3593863934918,-2.182902732125056e+293
36,386.12258572234776,351.3593863934918,-2.182902732125056e+293
37,386.12258572234776,351.3593863934918,-2.182902732125056e+293
38,386.12258572234776,351.3593863934918,-2.182902732125056e+293
39,386.12258572234776,351.3593863934918,-2.182902732125056e+293
40,386.12258572234776,351.3593863934918,-2.182902732125056e+293
41,386.12258572234776,351.3593863934918,-2.182902732125056e+293
42,463.91894768352864,321.3255833776437,-1.3917309280758781e+298
43,463.91894768352864,321.3255833776437,-1.3917309280758781e+298
44,463.91894768352864,321.3255833776437,-1.3917309280758781e+298
45,476.52823321188134,318.7527719964537,-5.461527912868241e+299
46,416.5714243559803,353.47279788877427,-1.1411270645873662e+302
47,416.5714243559803,353.47279788877427,-1.1411270645873662e+302
48,416.5714243559803,353.47279788877427,-1.1411270645873662e+302
49,416.5714243559803,353.47279788877427,-1.1411270645873662e+302
50,416.5714243559803,353.47279788877427,-1.1411270645873662e+302
51,416.5714243559803,353.47279788877427,-1.1411270645873662e+302
52,416.5714243559803,353.47279788877427,-1.1411270645873662e+302
53,416.5714243559803,353.47279788877427,-1.1411270645873662e+302
54,452.5970023169199,335.51227986439267,-1.9364933690741604e+302
55,452.5970023169199,335.51227986439267,-1.9364933690741604e+302
56,452.5970023169199,335.51227986439267,-1.9364933690741604e+302
57,403.7676849504003,363.543695776973,-3.93609362407951e+304
58,403.7676849504003,363.543695776973,-3.93609362407951e+304
59,403.7676849504003,363.543695776973,-3.93609362407951e+304
60,403.7676849504003,363.543695776973,-3.93609362407951e+304
61,403.7676849504003,363.543695776973,-3.93609362407951e+304
62,403.7676849504003,363.543695776973,-3.93609362407951e+304
63,403.7676849504003,363.543695776973,-3.93609362407951e+304
64,403.7676849504003,363.543695776973,-3.93609362407951e+304
65,403.7676849504003,363.543695776973,-3.93609362407951e+304
66,403.7676849504003,363.543695776973,-3.93609362407951e+304
67,403.7676849504003,363.543695776973,-3.93609362407951e+304
68,403.7676849504003,363.543695776973,-3.93609362407951e+304
69,403.7676849504003,363.543695776973,-3.93609362407951e+304
70,403.7676849504003,363.543695776973,-3.93609362407951e+304
71,403.7676849504003,363.543695776973,-3.93609362407951e+304
72,403.7676849504003,363.543695776973,-3.93609362407951e+304
73,403.7676849504003,363.543695776973,-3.93609362407951e+304
74,403.7676849504003,363.543695776973,-3.93609362407951e+304
75,403.7676849504003,363.543695776973,-3.93609362407951e+304
76,403.7676849504003,363.543695776973,-3.93609362407951e+304
77,403.7676849504003,363.543695776973,-3.93609362407951e+304
78,403.7676849504003,363.543695776973,-3.93609362407951e+304
79,403.7676849504003,363.543695776973,-3.93609362407951e+304
80,403.7676849504003,363.543695776973,-3.93609362407951e+304
81,403.7676849504003,363.543695776973,-3.93609362407951e+304
82,403.7676849504003,363.543695776973,-3.93609362407951e+304
83,403.7676849504003,363.543695776973,-3.93609362407951e+304
84,403.7676849504003,363.543695776973,-3.93609362407951e+304
85,403.7676849504003,363.543695776973,-3.93609362407951e+304
86,403.7676849504003,363.543695776973,-3.93609362407951e+304
87,403.7676849504003,363.543695776973,-3.93609362407951e+304
88,403.7676849504003,363.543695776973,-3.93609362407951e+304
89,403.7676849504003,363.543695776973,-3.93609362407951e+304
90,403.7676849504003,363.543695776973,-3.93609362407951e+304
91,403.7676849504003,363.543695776973,-3.93609362407951e+304
92,403.7676849504003,363.543695776973,-3.93609362407951e+304
93,403.7676849504003,363.543695776973,-3.93609362407951e+304
94,403.7676849504003,363.543695776973,-3.93609362407951e+304
95,403.7676849504003,363.543695776973,-3.93609362407951e+304
96,403.7676849504003,363.543695776973,-3.93609362407951e+304
97,403.7676849504003,363.543695776973,-3.93609362407951e+304
98,403.7676849504003,363.543695776973,-3.93609362407951e+304
99,403.7676849504003,363.543695776973,-3.93609362407951e+304
100,403.7676849504003,363.543695776973,-3.93609362407951e+304
101,403.7676849504003,363.543695776973,-3.93609362407951e+304
102,403.7676849504003,363.543695776973,-3.93609362407951e+304
103,403.7676849504003,363.543695776973,-3.93609362407951e+304
104,403.7676849504003,363.543695776973,-3.93609362407951e+304
105,403.7676849504003,363.543695776973,-3.93609362407951e+304
106,403.7676849504003,363.543695776973,-3.93609362407951e+304
107,403.7676849504003,363.543695776973,-3.93609362407951e+304
108,403.7676849504003,363.543695776973,-3.93609362407951e+304
109,403.7676849504003,363.543695776973,-3.93609362407951e+304
110,403.7676849504003,363.543695776973,-3.93609362407951e+304
111,403.7676849504003,363.543695776973,-3.93609362407951e+304
112,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
113,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
114,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
115,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
116,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
117,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
118,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
119,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
120,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
121,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
122,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
123,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
124,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
125,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
126,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
127,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
128,484.5344619980813,325.8681135816272,-5.3059259311767076e+306
129,469.4464710026401,335.6360959092463,-1.864045014641399e+307
130,469.4464710026401,335.6360959092463,-1.864045014641399e+307
131,469.4464710026401,335.6360959092463,-1.864045014641399e+307
132,469.4464710026401,335.6360959092463,-1.864045014641399e+307
133,469.4464710026401,335.6360959092463,-1.864045014641399e+307
134,469.4464710026401,335.6360959092463,-1.864045014641399e+307
135,469.4464710026401,335.6360959092463,-1.864045014641399e+307
136,469.4464710026401,335.6360959092463,-1.864045014641399e+307
137,469.4464710026401,335.6360959092463,-1.864045014641399e+307
138,469.4464710026401,335.6360959092463,-1.864045014641399e+307
139,469.4464710026401,335.6360959092463,-1.864045014641399e+307
140,469.4464710026401,335.6360959092463,-1.864045014641399e+307
141,469.4464710026401,335.6360959092463,-1.864045014641399e+307
142,469.4464710026401,335.6360959092463,-1.864045014641399e+307
143,469.4464710026401,335.6360959092463,-1.864045014641399e+307
144,469.4464710026401,335.6360959092463,-1.864045014641399e+307
145,469.4464710026401,335.6360959092463,-1.864045014641399e+307
146,469.4464710026401,335.6360959092463,-1.864045014641399e+307
147,469.4464710026401,335.6360959092463,-1.864045014641399e+307
148,469.4464710026401,335.6360959092463,-1.864045014641399e+307
149,469.4464710026401,335.6360959092463,-1.864045014641399e+307
150,469.4464710026401,335.6360959092463,-1.864045014641399e+307
151,469.4464710026401,335.6360959092463,-1.864045014641399e+307
152,469.4464710026401,335.6360959092463,-1.864045014641399e+307
153,469.4464710026401,335.6360959092463,-1.864045014641399e+307
154,469.4464710026401,335.6360959092463,-1.864045014641399e+307
155,469.4464710026401,335.6360959092463,-1.864045014641399e+307
156,469.4464710026401,335.6360959092463,-1.864045014641399e+307
157,469.4464710026401,335.6360959092463,-1.864045014641399e+307
158,469.4464710026401,335.6360959092463,-1.864045014641399e+307
159,511.5926786898785,311.29893723798824,-6.313385279406015e+307
160,511.5926786898785,311.29893723798824,-6.313385279406015e+307
161,511.5926786898785,311.29893723798824,-6.313385279406015e+307
